QID,label,from,starting label,target,depth
Q28051323,video-conferencing software,Q28406404,Microsoft Teams,1,1
Q19967801,online service,Q28406404,Microsoft Teams,1,1
Q474157,collaborative software,Q28406404,Microsoft Teams,1,1
Q2462003,instant messaging client,Q28406404,Microsoft Teams,1,1
Q28135300,Workplace from Meta,Q28406404,Microsoft Teams,0,2
Q734413,LAN messenger,Q28406404,Microsoft Teams,0,2
Q15548100,free instant messaging client,Q28406404,Microsoft Teams,1,2
Q12313595,collaborative real-time editor,Q28406404,Microsoft Teams,1,2
Q7705753,test automation management tool,Q28406404,Microsoft Teams,0,2
Q620615,mobile app,Q17130715,Slack,1,1
Q43229,organization,Q17130715,Slack,1,1
Q2462003,instant messaging client,Q17130715,Slack,1,1
Q166142,application,Q17130715,Slack,1,1
Q1132944,Science shop,Q17130715,Slack,0,2
Q58542,multi protocol instant messaging clients,Q17130715,Slack,1,2
Q15548100,free instant messaging client,Q17130715,Slack,1,2
Q15505266,Login manager,Q17130715,Slack,0,2
Q10417670,IRC client,Q17130715,Slack,1,2
Q3023650,social rental office,Q17130715,Slack,0,2
Q2401485,expedition,Q17130715,Slack,0,2
Q5398426,television series,Q23572,Game of Thrones,1,1
Q6664710,Locals casino,Q133215,casino,1,1
Q7279719,racino,Q133215,casino,1,1
Q655686,commercial building,Q133215,casino,1,1
Q16852719,casino hotel,Q133215,casino,1,1
Q7338100,Riverboat casino,Q133215,casino,1,1
Q770881,online casino,Q133215,casino,1,1
Q32350958,bingo hall,Q133215,casino,1,1
Q2312410,sports discipline,Q105674,running,1,1
Q2093999,trail running,Q105674,running,1,1
Q349,sport,Q105674,running,1,1
Q3694563,snowshoe running,Q105674,running,1,1
Q2167372,mountain running,Q105674,running,1,1
Q792635,axe throwing,Q105674,running,0,2
Q12014207,trekking,Q105674,running,1,2
Q15621650,skiing,Q105674,running,0,2
Q17080486,Twirling,Q105674,running,0,2
Q902378,equestrian sport,Q105674,running,0,2
Q212434,Olympic sport,Q105674,running,1,2
Q11660,artificial intelligence,Q2539,machine learning,1,1
Q21198,computer science,Q2539,machine learning,1,1
Q11862829,academic discipline,Q2539,machine learning,1,1
Q192776,artificial neural network,Q2539,machine learning,1,1
Q6027324,transfer learning,Q2539,machine learning,1,1
Q1152135,unsupervised learning,Q2539,machine learning,1,1
Q17013334,feature learning,Q2539,machine learning,1,1
Q378859,pattern recognition,Q2539,machine learning,1,1
Q55693888,Bulgarian Philology,Q2539,machine learning,0,2
Q55693875,International Economic Relationships,Q2539,machine learning,0,2
Q19935939,branch of geography,Q2539,machine learning,0,2
Q54811238,graph convolutional network,Q2539,machine learning,1,2
