qid,label
Q28406404,Microsoft Teams
Q17130715,Slack
Q23572,Game of Thrones
Q133215,casino
Q105674,running
Q2539,machine learning
Q188273,Ubisoft
Q918,Twitter
Q196538,microscope
Q777,Google Chrome
Q1152227,pharmacogenomics
Q746413,Elsevier BV
Q80131,poker
Q37501,eyeglasses
Q643290,RATP
Q121416,discrete mathematics
Q42490,Asterix
Q52,Wikipedia
Q12725,electricity
Q22907849,Discord
Q40898,Nancy
Q280413,National Center for Scientific Research
Q28785,Sacré-Cœur
Q1060165,Riot Games
Q1273376,E.Leclerc
Q68,computer
Q1199743,gradient descent
Q6588,Périgueux
Q364,GitHub
Q2746070,Canelé
Q381,Ubuntu
Q207472,Toto
Q718,chess
Q3214499,LORIA
Q1847641,human facial hair
Q12014035,hiking
Q11020,pool
Q2905238,BlaBlaCar
Q129337,TGV
Q1431486,Orange
Q16820462,Borderlands
Q1224715,dblp computer science bibliography
Q33959,Nice
Q35996,Mazda
Q325904,breadth-first search
Q168403,myopia
Q1484375,PyCharm
Q614362,Orange Livebox
Q1474517,French National Institute of Health and Medical Research
Q9340,Google Drive
Q201664,bracelet
Q7935239,Virtuoso Universal Server
Q337535,Steam
Q159992,surfing
Q180704,Iron Man
Q324254,ontology
Q4173330,University of Lorraine
Q847,tennis
Q3517281,Telecom Nancy
Q38695,cooking
Q243,Eiffel Tower
Q8333,Federal Bureau of Investigation
Q180204,shampoo
Q38076,McDonald’s
Q231136,Encarta
Q2283,Microsoft
Q76592,combinatorics
Q51746,Luke Skywalker
Q2,Earth
Q312,Apple Inc.
Q209330,Instagram
Q2813,Coca-Cola
Q3407658,tram
Q1636958,Xiaomi
Q195,chocolate
Q8548,Dijkstra's algorithm
Q13646,SNCF
Q12130,Brittany
Q14922,table football
Q118398,arXiv
Q335827,Directorate-General for External Security
Q244030,Diablo III
Q392500,Agence Nationale de la Recherche
Q1437394,formal concept analysis
Q864693,chicken meat
Q8539,The Big Bang Theory
Q171545,Belfort
Q1139866,Dofus
Q900647,Côte d'Opale
Q223127,Logitech
Q508256,Bastille
Q83363,jeans
Q30299483,Inria Nancy - Grand-Est research centre
Q548319,kouign-amann
Q462,Star Wars
Q9798,saxophone
Q159144,Europa-Park
Q1200183,Fiber to the home
Q95,Google
Q131476,graph theory
Q180,Wikimedia Foundation
Q1146208,Institut National de Recherche en Informatique et en Automatique
Q2551422,Water damage
Q174320,oscilloscope
